feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1,3,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,1,3,0,1,2,18,0,0,1,0,0,0,0,7,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,47,0,0,0,0,0,0,0,0,10,0,18,1,0,1,1,3,3,2,0,0,0,0,0,0,3,0,0,1,0,0,0,20,1,0,1,7
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,1,0,0,2,0,0,0,2,0,1,0,0,9,1,0,0,0,0,5,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,8
0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1,0,0,0,0,0,0,43,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,1,6,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8
0,0,0,0,1,0,0,1,0,0,1,0,0,5,0,10,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,1,0,0,0,0,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
1,0,1,0,0,0,0,0,1,0,0,0,5,1,0,1,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,1,9,1,0,0,0,1,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,3,0,2,2,0,0,4,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,8,0,0,0,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,2,5,0,0,0,1,0,3,0,4,0,1,0,0,0,0,0,2,15,0,0,0,0,0,0,0,3,0,0,0,1,1,0,5,3,1,0,1,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,1,1,0,0,0,0,32,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1,0,1,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6
0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,5
0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,20,1,0,0,2,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5
0,1,2,0,0,0,0,1,2,0,1,0,0,0,0,4,2,6,2,4,0,4,0,2,1,0,0,0,2,0,0,5,0,0,2,2,0,1,4,1,1,0,0,0,3,0,0,1,3,3,0,0,0,3,2,0,4,0,0,0,0,1,0,9,0,0,10,0,4,2,1,2,0,0,0,1,0,0,0,1,0,0,2,0,1,3,16,2,0,0,0,1,1,6
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,3,1,2,0,3,1,2,1,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,12,0,1,0,0,0,0,0,1,0,0,2,2,1,0,1,0,2,1,0,1,0,0,0,0,12,0,1,0,0,0,0,5,0,0,0,7
0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,4,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,3,0,4,1,0,6,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,2,2,0,1,0,0,2
0,1,0,2,0,0,0,0,0,0,3,2,1,2,0,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,3,0,0,0,1,1,4,0,1,0,3,1,0,0,0,0,0,0,1,0,2,1,4,3,0,1,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,1,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,3,0,4,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,5,2,0,2,0,0,10,0,0,0,1,1,3,7,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,3,0,0,1,0,1,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,8,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,2,0,0,4,0,0,1,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,1,0,1,1,1,0,1,2,3,0,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,1,0,1,2,0,5,0,0,1,2,1,33,9,0,0,0,0,0,0,4,0,0,0,0,0,0,38,0,0,0,7
0,0,9,5,0,0,0,0,0,0,11,0,1,0,0,3,0,0,0,0,3,1,0,0,0,2,7,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,7,0,0,2,0,1,3,0,27,1,1,2,0,0,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,3,0,1,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2
0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,29,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,15,0,0,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
0,0,1,0,0,0,1,0,0,2,0,0,0,1,3,2,0,0,0,0,0,0,2,2,3,2,0,0,1,0,0,0,2,0,1,0,0,6,0,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,5,1,0,0,0,0,1,0,3
0,1,0,0,0,0,0,1,4,0,1,0,2,1,0,5,4,2,3,3,0,5,0,34,0,0,0,0,1,0,0,4,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,13,0,43,3,0,0,0,0,4,1,1,0,2,0,2,1,1,0,2,0,0,4,0,1,0,0,1,7
0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,1,2,1,0,3,1,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,13,0,2,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,5
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,8,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1
0,0,0,0,0,0,4,1,0,4,0,0,0,3,0,0,0,0,1,1,0,0,0,4,0,0,0,0,1,5,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,60,3,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,3,2,0,7
0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,33,0,0,0,7
0,1,0,1,0,0,5,0,1,0,2,0,11,1,0,0,0,1,3,0,0,0,21,5,0,0,0,0,0,0,0,4,0,0,1,2,2,7,0,1,0,0,1,0,0,0,1,8,0,1,2,0,1,1,2,0,2,1,0,1,1,1,0,4,1,0,8,1,4,1,1,0,3,0,0,1,0,26,1,6,2,0,1,0,1,1,1,0,0,0,0,0,0,7
1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1
0,0,3,2,0,0,0,0,0,0,8,0,0,1,0,2,0,0,0,0,0,1,0,5,0,1,21,0,0,1,0,3,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,6,0,1,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,10,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6
0,0,14,3,0,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,1,3,0,7,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,10,0,1,0,5,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,5
0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,2,2,0,5,1,0,0,1,15,1,0,0,0,1,0,1,3,0,0,0,1,1,3,3,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,7,0,49,0,0,1,0,2,1,4,0,0,2,0,0,0,1,0,0,0,1,3,0,8,0,0,0,7
0,2,0,0,0,0,0,1,0,0,0,1,30,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,1,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,1,0,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,1,0,0,2,0,6,1,0,0,0,0,0,0,3,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,3,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,10,0,0,1,0,0,1,0,1,3,0,0,0,0,0,1,0,0,1,9,1,5,0,0,0,0,0,6
0,0,0,0,0,0,0,2,0,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,5
1,0,0,1,0,0,0,0,11,0,1,0,0,0,0,6,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,2,1,2,0,0,0,2,0,0,0,8,0,4,0,0,1,3,2,0,0,0,1,1,0,3,1,19,0,2,3,0,0,2,1,4,1,3,0,0,0,0,0,0,1,0,0,0,2,4,3,1,0,0,0,1,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,6,1,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,3,0,1,0,1,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,4,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,1,0,5
0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,2,0,2,0,6,0,0,0,0,0,0,0,7,0,0,1,0,1,3,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,1,0,0,14,2,0,0,4,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,13,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,1,2,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,2
0,0,2,1,0,0,0,1,0,11,0,0,0,0,0,4,0,2,0,6,0,3,0,1,1,0,0,0,7,0,0,0,0,0,0,0,4,1,0,0,7,0,0,6,0,0,0,1,1,0,0,0,1,6,6,0,0,5,0,0,0,1,0,0,0,1,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,5,0,0,7
0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,1,0,3,0,0,1,2,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,1
